,0
1270,SELMCL
1271,SEPOWER
1272,SEQUENT
1273,SESHAPAPER
1274,SETCO
1275,SETUINFRA
1276,SEYAIND
1277,SEZAL
1278,SFL
1279,SGL
1280,SHAHALLOYS
1281,SHAKTIPUMP
1282,SHALBY
1283,SHALPAINTS
1284,SHANKARA
1285,SHANTIGEAR
1286,SHARDACROP
1287,SHARDAMOTR
1288,SHEMAROO
1289,SHIL
1290,SHILPAMED
1291,SHIRPUR-G
1292,SHIVAMAUTO
1293,SHIVAMILLS
1294,SHIVATEX
1295,SHK
1296,SHOPERSTOP
1297,SHREDIGCEM
1298,SHREECEM
1299,SHREEPUSHK
1300,SHREERAMA
1301,SHRENIK
1302,SHREYANIND
1303,SHREYAS
1304,SHRIPISTON
1305,SHRIRAMCIT
1306,SHRIRAMEPC
1307,SHYAMCENT
1308,SHYAMTEL
1309,SICAGEN
1310,SICAL
1311,SIEMENS
1312,SIGIND
1313,SIL
1314,SILINV
1315,SILLYMONKS
1316,SIMBHALS
1317,SIMPLEXINF
1318,SINTEX
1319,SIRCA
1320,SIS
1321,SITINET
1322,SIYSIL
1323,SJVN
1324,SKFINDIA
1325,SKIL
1326,SKIPPER
1327,SKMEGGPROD
1328,SMARTLINK
1329,SMLISUZU
1330,SMPL
1331,SMSLIFE
1332,SMSPHARMA
1333,SNOWMAN
1334,SOBHA
1335,SOLARA
1336,SOLARINDS
1337,SOMANYCERA
1338,SOMATEX
1339,SOMICONVEY
1340,SONATSOFTW
1341,SORILINFRA
1342,SOTL
1343,SOUTHBANK
1344,SOUTHWEST
1345,SPAL
1346,SPANDANA
1347,SPARC
1348,SPCENET
1349,SPECIALITY
1350,SPENCERS
1351,SPENTEX
1352,SPIC
1353,SPICEJET
1354,SPLIL
1355,SPMLINFRA
1356,SPTL
1357,SPYL
1358,SREEL
1359,SREINFRA
1360,SRF
1361,SRHHYPOLTD
1362,SRIPIPES
1363,SRTRANSFIN
1364,SSWL
1365,STAR
1366,STARCEMENT
1367,STARPAPER
1368,STCINDIA
1369,STEELCITY
1370,STEELXIND
1371,STEL
1372,STERTOOLS
1373,STINDIA
1374,STRTECH
1375,SUBCAPCITY
1376,SUBEX
1377,SUBROS
1378,SUDARSCHEM
1379,SUJANAUNI
1380,SUMEETINDS
1381,SUMICHEM
1382,SUMIT
1383,SUMMITSEC
1384,SUNCLAYLTD
1385,SUNDARAM
1386,SUNDARMFIN
1387,SUNDARMHLD
1388,SUNDRMBRAK
1389,SUNDRMFAST
1390,SUNFLAG
1391,SUNPHARMA
1392,SUNTECK
1393,SUNTV
1394,SUPERHOUSE
1395,SUPERSPIN
1396,SUPPETRO
1397,SUPRAJIT
1398,SUPREMEIND
1399,SUPREMEINF
1400,SURANASOL
1401,SURANAT&P
1402,SURYALAXMI
1403,SURYAROSNI
1404,SUTLEJTEX
1405,SUVEN
1406,SUVENPHAR
1407,SUZLON
1408,SWANENERGY
1409,SWARAJENG
1410,SWELECTES
1411,SWSOLAR
1412,SYMPHONY
1413,SYNCOM
1414,SYNGENE
1415,TAINWALCHM
1416,TAJGVK
1417,TAKE
1418,TALBROAUTO
1419,TALWALKARS
1420,TALWGYM
1421,TANLA
1422,TANTIACONS
1423,TARMAT
1424,TASTYBITE
1425,TATACHEM
1426,TATACOFFEE
1427,TATACOMM
1428,TATACONSUM
1429,TATAELXSI
1430,TATAINVEST
1431,TATAMETALI
1432,TATAMOTORS
1433,TATAMTRDVR
1434,TATAPOWER
1435,TATASTEEL
1436,TATASTLBSL
1437,TATASTLLP
1438,TBZ
1439,TCI
1440,TCIDEVELOP
1441,TCIEXP
1442,TCIFINANCE
1443,TCNSBRANDS
1444,TCPLPACK
1445,TCS
1446,TDPOWERSYS
1447,TEAMLEASE
1448,TECHIN
1449,TECHM
1450,TECHNOE
